,Year, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated, Losses $USD, Losses $Local, Education centers, Hospitals, Damages in crops Ha., Lost Cattle, Damages in roads Mts,Unnamed: 18
1,1971,84,6,1,2,0,100,2000,600,0,8888,0,0,0,0,45523,0,0,
2,1972,211,1,0,0,730,1731,569,3040,0,36455,0,0,3,2,375500,17400,2500,
3,1973,317,43,136,7,859,8609,642,18808,0,43412,1115406011,0,20,4,4457518,410062,4515220,
4,1974,201,56,7,60,74,0,21894,53920,100,59281,0,0,4,0,540000,4000,1333000,
5,1975,144,39,0,32,1030,300,2426,0,0,15469,0,0,4,0,21000,0,75000,
6,1976,66,0,0,0,0,200,0,0,0,2570,0,0,0,4,0,0,0,
7,1977,252,17,4,1,91,897,6310,4166,0,28826,0,0,20,1,464156,34600,180,
8,1978,94,24,73,0,37,0,2644,0,0,22668,90,0,1,0,116600,40000,0,
9,1979,218,6,40,0,153,455,0,3957,0,25212,0,0,15,0,120700,0,159350,
10,1980,124,28,17,3,305,10220,28,402000,0,98071,113561190,0,0,2,1266200,37400,0,
11,1981,464,25,8,3,45,30,226,23450,89,31009,0,0,3,1,2213794,3600,8100,
12,1982,234,10,10,0,841,180,45700,20873,0,136962,5500000,0,65,3,1136350,449000,0,
13,1983,263,16,1,4,729,722,0,8850,0,150307,124,0,47,3,3796100,410080,0,
14,1984,339,42,184,10,5849,225,0,87160,0,81690,10000000,0,76,1,1992070,420000,7500,
15,1985,268,51,10,7,319,1872,0,30000,0,199494,86000000,0,37,6,10928600,50000,0,
16,1986,292,13,10,1,30,3130,0,106000,0,102868,15000000,0,0,0,5615330,142000,0,
17,1987,265,14,73,0,0,15,0,30000,0,28725,8,0,0,1,20000,0,0,
18,1988,62,12,0,4,0,30,50,90000,0,74417,79024106,0,5,1,1524663,0,0,
19,1989,38,1,0,0,0,0,91,0,0,2436,0,0,0,2,75000,0,0,
20,1990,124,15,1,5,450,1,12500,450616,0,17166,0,0,0,3,40000,0,0,
21,1991,75,1,0,0,4,0,0,3000,0,520,54000000,0,0,0,1028000,0,0,
22,1992,249,27,0,21,29,8619,685,907512,0,116053,461050030,0,12,9,6603314,38000,180000,
23,1993,107,6,12,6,310,1400,21560,252840,0,24006,233000000,0,27,3,2712000,479000,5148000,
24,1994,69,2,4,0,0,0,35,12000,0,2390,0,0,9,1,204000,0,400,
25,1995,44,6,20,20,0,100,50320,98000,0,7756,60000000,0,0,1,212000,0,500,
26,1996,21,4,15,0,0,0,500,0,0,363,0,0,1,0,0,0,0,
27,1997,124,9,1,0,82,2021,844,364400,0,30015,900000,0,0,0,867700,0,500,
28,1998,213,31,302,0,181,4713,79053,259250,30,80552,93500000,0,15,1,1104920,213600,223500,
29,1999,106,6,0,1,0,40,0,920504,0,2302,200,0,1,0,30200,0,8000,
30,2000,252,27,14,17,1680,3869,3580,2378422,0,80236,267000300,0,69,3,1947540,2000,1060,
31,2001,185,12,5,2,506,1330,11350,300000,0,20878,2000054,0,4,0,2313300,0,0,
32,2002,126,11,9,2,83,620,210,250000,0,35405,858051,0,2,0,5793200,40000,0,
33,2003,91,26,5457,0,3000,29070,100750,6500,0,113019,2900000000,0,187,3,14700,5300,0,
34,2004,47,10,4,1,3,59,20,0,0,2143,0,0,0,0,0,0,1800,
35,2005,58,7,0,0,11,160,30,1800,0,3457,0,0,0,0,0,0,1700,
36,2006,91,6,0,1,71,138,993,312527,0,10619,0,0,0,0,0,0,0,
37,2007,286,28,430,6,5,5135,33233,221102,100,72737,7000000,0,143,1,64001,140500,10000,
38,2008,78,6,1,6,6,401,49400,225150,0,17138,4000000,212000000,1,2,0,0,40,
39,2009,56,13,5,2,0,166,4376,922,0,24063,0,0,25,0,1312000,0,0,
40,2010,72,3,55,1,0,25,370,0,100,4405,0,0,0,0,0,0,5000,
41,2011,18,0,0,0,0,0,0,80,0,6210,0,0,0,0,0,0,0,
42,2012,110,5,0,0,0,0,511,184,0,4706,0,160830000,180,0,4360000,47000,300,
43,2013,71,66,1,1,0,500011,165077,707500,0,14859,0,6000000000,0,4,0,0,0,
44,2014,81,7,0,2,912,2496,6260,72280,0,55605,525,0,0,0,1190000,0,0,
45,2015,204,35,5,7,224,2080,3000,50802,0,53951,0,1100000,0,0,1851000,4000,0,
