deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
111,24,7,564,2303,10200,34500,0,0,0,0,0,0,500.0,0,0.0,FLOODS,1973-07-05,1973-07-10,1973-07-10
0,0,0,0,120,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1973-07-11,1973-07-16,1973-07-16
0,0,0,140,450,1000,0,0,6000,0,0,0,0,0.0,0,0.0,FLOODS,1973-07-27,1973-08-01,1973-08-01
0,0,0,8,12,80,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1973-08-08,1973-08-13,1973-08-13
17,917,0,275,18800,55500,30000,0,2000,0,140000000,0,0,73000.0,0,0.0,FLOODS,1973-08-18,1973-08-23,1973-08-23
0,0,0,0,18520,60080,235000,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1973-08-24,1973-08-29,1973-08-29
0,0,0,0,580,0,4000,0,200,0,0,0,1,0.0,0,0.0,FLOODS,1973-08-30,1973-09-04,1973-09-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1973-09-19,1973-09-24,1973-09-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1973-10-09,1973-10-14,1973-10-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1973-10-18,1973-10-23,1973-10-23
0,7,0,0,250,1000,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1973-12-07,1973-12-12,1973-12-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1974-04-15,1974-04-20,1974-04-20
0,1350,0,40,577,400,0,0,0,0,2610000,0,0,0.0,0,50.0,FLOODS,1974-05-30,1974-06-04,1974-06-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1974-06-13,1974-06-18,1974-06-18
0,0,0,0,1700,10000,0,0,0,0,500000,0,0,0.0,0,0.0,FLOODS,1974-06-19,1974-06-24,1974-06-24
0,0,0,0,1000,0,4000,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1974-07-02,1974-07-07,1974-07-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1974-07-09,1974-07-14,1974-07-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1974-07-23,1974-07-28,1974-07-28
0,2,0,0,45,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1974-08-05,1974-08-10,1974-08-10
1,0,1,0,60,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1974-09-11,1974-09-16,1974-09-16
0,0,0,0,0,0,0,0,0,0,0,0,0,5500.0,0,0.0,FLOODS,1974-09-20,1974-09-25,1974-09-25
0,0,0,0,150,300,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1974-09-30,1974-10-05,1974-10-05
0,0,0,0,5,0,20,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1974-10-28,1974-11-02,1974-11-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1974-11-11,1974-11-16,1974-11-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-04-13,1975-04-18,1975-04-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-05-11,1975-05-16,1975-05-16
0,0,0,0,72,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-05-20,1975-05-25,1975-05-25
1,100,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-05-31,1975-06-05,1975-06-05
2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-06-28,1975-07-03,1975-07-03
0,0,0,10,100,90,0,0,0,0,400000,0,0,0.0,0,0.0,FLOODS,1975-07-07,1975-07-12,1975-07-12
1,0,0,0,5150,20000,3062,0,450,0,0,0,0,50000.0,0,0.0,FLOODS,1975-07-13,1975-07-18,1975-07-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-07-21,1975-07-26,1975-07-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-07-28,1975-08-02,1975-08-02
2,0,0,150,9000,9000,0,2200,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-08-08,1975-08-13,1975-08-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-08-19,1975-08-24,1975-08-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-09-03,1975-09-08,1975-09-08
4,0,0,0,2310,16374,15,0,0,0,0,0,0,80360.0,0,0.0,FLOODS,1975-09-10,1975-09-15,1975-09-15
0,0,0,0,0,0,0,0,200,0,0,0,0,0.0,0,0.0,FLOODS,1975-09-18,1975-09-23,1975-09-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-09-29,1975-10-04,1975-10-04
0,0,0,0,50,200,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-10-13,1975-10-18,1975-10-18
