,Year, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated, Losses $USD, Losses $Local, Education centers, Hospitals, Damages in crops Ha., Lost Cattle, Damages in roads Mts,Unnamed: 18
1,1971,21,4,2,0,3,116,1013,340,0,415,0,0,0,0,0,0,0,
2,1972,13,1,12,0,0,0,983,19,0,0,0,0,0,0,50,0,50,
3,1973,3,0,0,0,40,0,556,0,0,5,0,0,0,0,0,0,0,
4,1974,3,0,0,0,850,9,1036,0,0,1036,0,0,0,0,0,0,0,
5,1975,1,0,0,0,0,0,150,0,0,65,0,6000000,0,0,0,0,0,
6,1976,7,0,0,0,2,3,48,0,0,0,0,0,0,0,0,0,0,
7,1977,27,0,0,0,6,1,919,4100,0,303,0,0,0,0,0,1000,0,
8,1978,4,0,0,0,7,0,528,300,0,60,0,0,0,0,3,0,0,
9,1979,17,0,0,0,0,6,275,0,0,73,0,0,0,0,2527,0,10,
10,1980,32,13,0,0,4,13,527,3900,0,18,0,6000000,0,9,0,0,112,
11,1981,30,0,0,0,5,1585,5032,0,0,423,0,0,1,1,0,0,330,
12,1982,118,18,5,4,1680,7685,18498,39847,3198,5812,0,1501500000,17,0,2430,210,1249,
13,1983,20,1,0,0,2,0,1041,1170,0,826,0,800000,0,0,0,0,6025,
14,1984,8,0,0,0,0,102,2480,0,0,774,0,0,0,1,0,0,0,
15,1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,1986,13,1,0,0,0,0,1674,200,1050,0,0,22000000,0,0,0,0,50,
17,1987,29,4,0,0,19,0,9967,338,0,133,0,0,0,2,0,0,0,
18,1989,6,0,0,0,0,2,38,0,0,0,0,0,0,0,0,0,0,
19,1990,6,0,0,0,8,2,624,0,0,104,0,0,0,0,0,0,0,
20,1991,17,0,0,10,2,1008,9176,1000,0,29,0,0,0,0,0,0,2000,
21,1992,1,0,0,0,0,27,108,0,0,0,0,0,0,0,0,0,0,
22,1993,38,1,8,6,100,293,11149,16153,0,2939,35000000,0,0,0,3500,0,9450,
23,1994,10,0,0,0,5,401,226,0,0,0,0,0,0,0,15090,7000,0,
24,1995,4,0,1,0,2,171,443,0,0,80,0,0,0,0,0,0,0,
25,1996,5,0,0,1,0,0,197,2800,0,0,0,0,0,0,0,0,0,
26,1997,65,2,3,1,1,1971,8806,41932,0,555,0,700000000,1,1,0,0,0,
27,1998,11,20,0,0,0,0,132,800,0,0,0,0,0,0,30,0,80,
28,1999,12,0,0,0,0,0,117,1318,0,90,0,0,0,0,0,0,0,
29,2000,33,0,0,0,4,1013,8587,5120,0,981,0,0,0,2,0,0,25,
30,2001,29,0,0,0,20,64435,4170,264753,0,0,0,0,0,0,0,0,0,
31,2002,17,7,0,0,44,831,3730,8183,0,983,0,70000000,0,0,0,0,0,
32,2003,14,0,0,0,8,508,58,8517,0,1398,0,0,0,0,0,0,0,
33,2004,3,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,
34,2005,2,0,0,0,0,50,0,179,0,0,0,0,0,0,0,0,0,
35,2006,4,1,0,0,0,3025,0,11229,0,99,0,0,0,0,20000,0,0,
36,2009,1,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,
37,2010,6,4,0,0,3,7,293,0,20,0,0,0,0,0,0,0,0,
38,2011,3,0,0,0,0,0,0,1275,0,0,0,0,0,0,0,0,0,
39,2012,1,0,1,0,0,860,50,0,0,312,0,0,0,0,0,0,0,
40,2013,3,1,1,2,1,1,0,45,0,0,0,0,0,0,0,0,0,
41,2014,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,
